1,1,4652.5
2,1,-2991.6
2,2,-734.6
3,1,-82.1
3,2,241.9
3,3,-543.4
4,1,281.9
4,2,-158.4
4,3,199.7
4,4,-349.7
5,1,47.7
5,2,208.3
5,3,-121.2
5,4,32.3
5,5,98.9
6,1,-19.1
6,2,25.1
6,3,52.8
6,4,-64.5
6,5,8.9
6,6,68.1
7,1,-51.5
7,2,-16.9
7,3,2.2
7,4,23.5
7,5,-2.2
7,6,-27.2
7,7,-1.8
8,1,8.4
8,2,-15.3
8,3,12.8
8,4,-11.7
8,5,14.9
8,6,3.6
8,7,-6.9
8,8,2.8
9,1,-23.4
9,2,11.0
9,3,9.8
9,4,-5.1
9,5,-6.3
9,6,7.8
9,7,0.4
9,8,-1.4
9,9,9.6
10,1,3.4
10,2,-0.2
10,3,3.6
10,4,4.8
10,5,-8.6
10,6,-0.1
10,7,-4.3
10,8,-3.4
10,9,-0.1
10,10,-8.8
11,1,0.0
11,2,2.5
11,3,-0.6
11,4,-0.4
11,5,0.6
11,6,-0.2
11,7,-1.7
11,8,-1.6
11,9,-3.0
11,10,-2.0
11,11,-2.6
12,1,-1.2
12,2,0.5
12,3,1.4
12,4,-1.8
12,5,0.1
12,6,0.8
12,7,-0.2
12,8,0.6
12,9,0.2
12,10,-0.9
12,11,0.0
12,12,0.5
13,1,-0.9
13,2,0.6
13,3,1.4
13,4,-0.4
13,5,-1.3
13,6,-0.1
13,7,0.3
13,8,-0.1
13,9,0.5
13,10,0.5
13,11,-0.4
13,12,-0.4
13,13,-0.6
